hex,mnemonic,addrmode,cycles,operation,flags,stability
00,BRK,imp,7,"[S--]=PC,P; PC=[$FFFE]",--------,
01,ORA,izxr,6,"A=A|#",*-----*-,
02,KIL,imm,2,crash,--------,crash
03,SLO,izxm,8,"#=#<<1; A=A|#",*-----**,stable
04,NOP,zpgr,3,"do nothing",--------,stable
05,ORA,zpgr,3,"A=A|#",*-----*-,
06,ASL,zpgm,5,"#=#<<1",*-----**,
07,SLO,zpgm,5,"#=#<<1; A=A|#",*-----**,stable
08,PHP,imp,3,"[S--]=P",--------,
09,ORA,imm,2,"A=A|#",*-----*-,
0A,ASL,imp,2,"#=#<<1",*-----**,
0B,ANC,imm,2,"A=A&#",*-----**,stable
0C,NOP,absr,4,"do nothing",--------,
0D,ORA,absr,4,"A=A|#",*-----*-,
0E,ASL,absm,6,"#=#<<1",*-----**,
0F,SLO,absm,6,"#=#<<1; A=A|#",*-----**,stable
10,BPL,rel,2-4,"if N=0: PC=PC+#",--------,
11,ORA,izyr,5-6,"A=A|#",*-----*-,
12,KIL,rel,2-4,crash,--------,crash
13,SLO,izym,8,"#=#<<1; A=A|#",*-----**,stable
14,NOP,zpxr,4,"do nothing",--------,stable
15,ORA,zpxr,4,"A=A|#",*-----*-,
16,ASL,zpxm,6,"#=#<<1",*-----**,
17,SLO,zpxm,6,"#=#<<1; A=A|#",*-----**,stable
18,CLC,imp,2,"C=0",-------0,
19,ORA,abyr,4-5,"A=A|#",*-----*-,
1A,NOP,imp,2,"do nothing",--------,stable
1B,SLO,abym,7,"#=#<<1; A=A|#",*-----**,stable
1C,NOP,abxr,4-5,"do nothing",--------,stable
1D,ORA,abxr,4-5,"A=A|#",*-----*-,
1E,ASL,abxm,7,"#=#<<1",*-----**,
1F,SLO,abxm,7,"#=#<<1; A=A|#",*-----**,stable
20,JSR,abs,6,"[S--]=PC; PC=#",--------,
21,AND,izxr,6,"A=A&#",*-----*-,
22,KIL,imm,2,crash,--------,crash
23,RLA,izxm,8,"#=#<<1+C; A=A&#",*-----**,stable
24,BIT,zpgr,3,"N=b7; V=b6; Z=A&#",**----*-,
25,AND,zpgr,3,"A=A&#",*-----*-,
26,ROL,zpgm,5,"#=#<<1+C",*-----**,
27,RLA,zpgm,5,"#=#<<1+C; A=A&#",*-----**,stable
28,PLP,imp,4,"P=[++S]",**--****,
29,AND,imm,2,"A=A&#",*-----*-,
2A,ROL,imp,2,"#=#<<1+C",*-----**,
2B,ANC,imm,2,"A=A&#",*-----**,stable
2C,BIT,absr,4,"N=b7; V=b6; Z=A&#",**----*-,
2D,AND,absr,4,"A=A&#",*-----*-,
2E,ROL,absm,6,"#=#<<1+C",*-----**,
2F,RLA,absm,6,"#=#<<1+C; A=A&#",*-----**,stable
30,BMI,rel,2-4,"if N=1: PC=PC+#",--------,
31,AND,izyr,5-6,"A=A&#",*-----*-,
32,KIL,rel,2-4,crash,--------,crash
33,RLA,izym,8,"#=#<<1+C; A=A&#",*-----**,stable
34,NOP,zpxr,4,"do nothing",--------,stable
35,AND,zpxr,4,"A=A&#",*-----*-,
36,ROL,zpxm,6,"#=#<<1+C",*-----**,
37,RLA,zpxm,6,"#=#<<1+C; A=A&#",*-----**,stable
38,SEC,imp,2,"C=1",-------1,
39,AND,abyr,4-5,"A=A&#",*-----*-,
3A,NOP,imp,2,"do nothing",--------,stable
3B,RLA,abym,7,"#=#<<1+C; A=A&#",*-----**,stable
3C,NOP,abxr,4-5,"do nothing",--------,stable
3D,AND,abxr,4-5,"A=A&#",*-----*-,
3E,ROL,abxm,7,"#=#<<1+C",*-----**,
3F,RLA,abxm,7,"#=#<<1+C; A=A&#",*-----**,stable
40,RTI,imp,6,"P,PC=[++S]",--------,
41,EOR,izxr,6,"A=A^#",*-----*-,
42,KIL,imm,2,crash,--------,crash
43,SRE,izxm,8,"#=#>>1; A=A^#",*-----**,stable
44,NOP,zpgr,3,"do nothing",--------,stable
45,EOR,zpgr,3,"A=A^#",*-----*-,
46,LSR,zpgm,5,"#=#>>1",*-----**,
47,SRE,zpgm,5,"#=#>>1; A=A^#",*-----**,stable
48,PHA,imp,3,"[S--]=A",*-----*-,
49,EOR,imm,2,"A=A^#",*-----*-,
4A,LSR,imp,2,"#=#>>1",*-----**,
4B,ALR,imm,2,"A=(A&#)>>1",*-----**,stable
4C,JMP,abs,3,"PC=#",--------,
4D,EOR,absr,4,"A=A^#",*-----*-,
4E,LSR,absm,6,"#=#>>1",*-----**,
4F,SRE,absm,6,"#=#>>1; A=A^#",*-----**,stable
50,BVC,rel,2-4,"if V=0: PC=PC+#",--------,
51,EOR,izyr,5-6,"A=A^#",*-----*-,
52,KIL,rel,2-4,crash,--------,crash
53,SRE,izym,8,"#=#>>1; A=A^#",*-----**,stable
54,NOP,zpxr,4,"do nothing",--------,stable
55,EOR,zpxr,4,"A=A^#",*-----*-,
56,LSR,zpxm,6,"#=#>>1",*-----**,
57,SRE,zpxm,6,"#=#>>1; A=A^#",*-----**,stable
58,CLI,imp,2,"I=0",-----0--,
59,EOR,abyr,4-5,"A=A^#",*-----*-,
5A,NOP,imp,2,"do nothing",--------,stable
5B,SRE,abym,7,"#=#>>1; A=A^#",*-----**,stable
5C,NOP,abxr,4-5,"do nothing",--------,stable
5D,EOR,abxr,4-5,"A=A^#",*-----*-,
5E,LSR,abxm,7,"#=#>>1",*-----**,
5F,SRE,abxm,7,"#=#>>1; A=A^#",*-----**,stable
60,RTS,imp,5,"PC=[++S]",--------,
61,ADC,izxr,6,"A=A+#",**----**,
62,KIL,imm,2,crash,--------,crash
63,RRA,izxm,8,"#=#>>1+(C<<7); A=A+#",**----**,stable
64,NOP,zpgr,3,"do nothing",--------,stable
65,ADC,zpgr,3,"A=A+#",**----**,
66,ROR,zpgm,5,"#=#>>1+(C<<7)",*-----**,
67,RRA,zpgm,5,"#=#>>1+(C<<7); A=A+#",**----**,stable
68,PLA,imp,4,"A=[++S]",--------,
69,ADC,imm,2,"A=A+#",**----**,
6A,ROR,imp,2,"#=#>>1+(C<<7)",*-----**,
6B,ARR,imm,2,"A=(A&#)>>1",**----**,stable
6C,JMP,ind,5,"PC=#",--------,
6D,ADC,absr,4,"A=A+#",**----**,
6E,ROR,absm,6,"#=#>>1+(C<<7)",*-----**,
6F,RRA,absm,6,"#=#>>1+(C<<7); A=A+#",**----**,stable
70,BVS,rel,2-4,"if V=1: PC=PC+#",--------,
71,ADC,izyr,5-6,"A=A+#",**----**,
72,KIL,rel,2-4,crash,--------,crash
73,RRA,izym,8,"#=#>>1+(C<<7); A=A+#",**----**,stable
74,NOP,zpxr,4,"do nothing",--------,stable
75,ADC,zpxr,4,"A=A+#",**----**,
76,ROR,zpxm,6,"#=#>>1+(C<<7)",*-----**,
77,RRA,zpxm,6,"#=#>>1+(C<<7); A=A+#",**----**,stable
78,SEI,imp,2,"I=1",-----1--,
79,ADC,abyr,4-5,"A=A+#",**----**,
7A,NOP,imp,2,"do nothing",--------,stable
7B,RRA,abym,7,"#=#>>1+(C<<7); A=A+#",**----**,stable
7C,NOP,abxr,4-5,"do nothing",--------,stable
7D,ADC,abxr,4-5,"A=A+#",**----**,
7E,ROR,abxm,7,"#=#>>1+(C<<7)",*-----**,
7F,RRA,abxm,7,"#=#>>1+(C<<7); A=A+#",**----**,stable
80,NOP,imm,2,"do nothing",--------,stable
81,STA,izxw,7,"#=A",--------,
82,NOP,imm,2,"do nothing",--------,stable
83,SAX,izxw,7,"#=A&X",--------,stable
84,STY,zpgw,3,"#=Y",--------,
85,STA,zpgw,3,"#=A",--------,
86,STX,zpgw,3,"#=X",--------,
87,SAX,zpgw,3,"#=A&X",--------,stable
88,DEY,imp,2,"Y=Y-1",*-----*-,
89,NOP,imm,2,"do nothing",--------,stable
8A,TXA,imp,2,"A=X",*-----*-,
8B,XAA,imm,2,"A=X&#",--------,highly unstable
8C,STY,absw,4,"#=Y",--------,
8D,STA,absw,4,"#=A",--------,
8E,STX,absw,4,"#=X",--------,
8F,SAX,absw,4,"#=A&X",--------,stable
90,BCC,rel,2-4,"if C=0: PC=PC+#",--------,
91,STA,izyw,6,"#=A",--------,
92,KIL,rel,2-4,crash,--------,crash
